Frame_170: FPS: 842.2500, Total Parameters: 400000, Avg Tiles Hit: 333231.00
Frame_171: FPS: 844.1265, Total Parameters: 400000, Avg Tiles Hit: 334974.00
Frame_172: FPS: 839.2922, Total Parameters: 400000, Avg Tiles Hit: 336399.00
Frame_173: FPS: 839.7879, Total Parameters: 400000, Avg Tiles Hit: 338205.00
Frame_174: FPS: 831.9704, Total Parameters: 400000, Avg Tiles Hit: 339571.00
Frame_175: FPS: 828.3785, Total Parameters: 400000, Avg Tiles Hit: 341176.00
Frame_176: FPS: 829.8240, Total Parameters: 400000, Avg Tiles Hit: 342810.00
Frame_177: FPS: 825.2540, Total Parameters: 400000, Avg Tiles Hit: 344442.00
Frame_178: FPS: 824.1028, Total Parameters: 400000, Avg Tiles Hit: 346245.00
Frame_179: FPS: 806.0203, Total Parameters: 400000, Avg Tiles Hit: 347398.00
Frame_180: FPS: 817.3785, Total Parameters: 400000, Avg Tiles Hit: 349157.00
Frame_181: FPS: 795.5435, Total Parameters: 400000, Avg Tiles Hit: 349636.00
Frame_182: FPS: 818.1757, Total Parameters: 400000, Avg Tiles Hit: 350687.00
Frame_183: FPS: 800.8875, Total Parameters: 400000, Avg Tiles Hit: 352031.00
Frame_184: FPS: 789.7152, Total Parameters: 400000, Avg Tiles Hit: 353396.00
Frame_185: FPS: 808.8415, Total Parameters: 400000, Avg Tiles Hit: 354618.00
Frame_186: FPS: 811.7625, Total Parameters: 400000, Avg Tiles Hit: 355565.00
Frame_187: FPS: 808.2601, Total Parameters: 400000, Avg Tiles Hit: 356137.00
Frame_188: FPS: 784.3339, Total Parameters: 400000, Avg Tiles Hit: 356697.00
Frame_189: FPS: 807.9845, Total Parameters: 400000, Avg Tiles Hit: 357824.00
Frame_190: FPS: 789.3452, Total Parameters: 400000, Avg Tiles Hit: 358849.00
Frame_191: FPS: 804.9576, Total Parameters: 400000, Avg Tiles Hit: 359186.00
Frame_192: FPS: 801.2593, Total Parameters: 400000, Avg Tiles Hit: 360297.00
Frame_193: FPS: 800.6261, Total Parameters: 400000, Avg Tiles Hit: 361142.00
Frame_194: FPS: 790.8022, Total Parameters: 400000, Avg Tiles Hit: 362054.00
Frame_195: FPS: 799.6111, Total Parameters: 400000, Avg Tiles Hit: 362885.00
Frame_196: FPS: 797.0537, Total Parameters: 400000, Avg Tiles Hit: 363909.00
Frame_197: FPS: 791.6022, Total Parameters: 400000, Avg Tiles Hit: 364349.00
Frame_198: FPS: 797.9788, Total Parameters: 400000, Avg Tiles Hit: 365302.00
Frame_199: FPS: 796.5315, Total Parameters: 400000, Avg Tiles Hit: 366289.00
